ResourceID,AdminArea,AdminAreaType,Timestamp,ID
MLO100064,Lambeth,Borough,00 00 00 00 00 13 66 0A ,23626
MLO100064,River Thames,Borough,00 00 00 00 00 13 66 0B ,23627
MLO100065,Wandsworth,Borough,00 00 00 00 00 13 7D 3C ,29541
MLO100066,Lambeth,Borough,00 00 00 00 00 13 94 25 ,35383
MLO100066,River Thames,Borough,00 00 00 00 00 13 94 26 ,35384
MLO100067,Southwark,Borough,00 00 00 00 00 13 AB 3B ,41270
MLO100068,Southwark,Borough,00 00 00 00 00 13 C2 54 ,47160
MLO100069,Barnet,Borough,00 00 00 00 00 13 D9 74 ,53057
MLO100070,Lambeth,Borough,00 00 00 00 00 13 09 70 ,13
MLO100072,Newham,Borough,00 00 00 00 00 13 37 E6 ,11861
MLO100073,Newham,Borough,00 00 00 00 00 13 4E ED ,17733
MLO100074,Newham,Borough,00 00 00 00 00 13 66 0C ,23628
MLO100076,Newham,Borough,00 00 00 00 00 13 94 27 ,35385
MLO100077,Newham,Borough,00 00 00 00 00 13 AB 3C ,41271
MLO100081,Southwark,Borough,00 00 00 00 00 13 20 AA ,5936
MLO100082,Newham,Borough,00 00 00 00 00 13 37 E7 ,11862
MLO100083,Newham,Borough,00 00 00 00 00 13 4E EE ,17734
MLO100084,Newham,Borough,00 00 00 00 00 13 66 0D ,23629
MLO100085,Newham,Borough,00 00 00 00 00 13 7D 3D ,29542
MLO100086,Newham,Borough,00 00 00 00 00 13 94 28 ,35386
MLO100087,Newham,Borough,00 00 00 00 00 13 AB 3D ,41272
MLO100088,Southwark,Borough,00 00 00 00 00 13 C2 55 ,47161
MLO100089,Southwark,Borough,00 00 00 00 00 13 D9 75 ,53058
MLO100090,Southwark,Borough,00 00 00 00 00 13 09 71 ,14
MLO100091,Southwark,Borough,00 00 00 00 00 13 20 AB ,5937
MLO100092,Newham,Borough,00 00 00 00 00 13 37 E8 ,11863
MLO100093,Southwark,Borough,00 00 00 00 00 13 4E EF ,17735
MLO100094,Southwark,Borough,00 00 00 00 00 13 66 0E ,23630
MLO100096,Barnet,Borough,00 00 00 00 00 13 94 29 ,35387
MLO100101,River Thames,Borough,00 00 00 00 00 13 20 AC ,5938
MLO100101,Southwark,Borough,00 00 00 00 00 13 20 AD ,5939
MLO100102,River Thames,Borough,00 00 00 00 00 13 37 E9 ,11864
MLO100102,Southwark,Borough,00 00 00 00 00 13 37 EA ,11865
MLO100103,Southwark,Borough,00 00 00 00 00 13 4E F0 ,17736
MLO100104,Southwark,Borough,00 00 00 00 00 13 66 0F ,23631
MLO100105,Southwark,Borough,00 00 00 00 00 13 7D 3E ,29543
MLO100106,Southwark,Borough,00 00 00 00 00 13 94 2A ,35388
MLO100107,Southwark,Borough,00 00 00 00 00 13 AB 3E ,41273
MLO100108,Southwark,Borough,00 00 00 00 00 13 C2 56 ,47162
MLO100109,Southwark,Borough,00 00 00 00 00 13 D9 76 ,53059
MLO100110,Southwark,Borough,00 00 00 00 00 13 09 72 ,15
MLO100111,Southwark,Borough,00 00 00 00 00 13 20 AE ,5940
MLO100112,Southwark,Borough,00 00 00 00 00 13 37 EB ,11866
MLO100113,Southwark,Borough,00 00 00 00 00 13 4E F1 ,17737
MLO100116,Out of Area,Borough,00 00 00 00 00 13 94 2B ,35389
MLO100117,Barnet,Borough,00 00 00 00 00 13 AB 3F ,41274
MLO100118,Barnet,Borough,00 00 00 00 00 13 C2 57 ,47163
MLO100119,Barnet,Borough,00 00 00 00 00 13 D9 77 ,53060
MLO10012,River Thames,Borough,00 00 00 00 00 13 37 EC ,11867
MLO10012,Wandsworth,Borough,00 00 00 00 00 13 37 ED ,11868
MLO100120,Barnet,Borough,00 00 00 00 00 13 09 73 ,16
MLO100122,Out of Area,Borough,00 00 00 00 00 13 37 EE ,11869
MLO100123,Out of Area,Borough,00 00 00 00 00 13 4E F2 ,17738
MLO100124,Out of Area,Borough,00 00 00 00 00 13 66 10 ,23632
MLO100125,Barnet,Borough,00 00 00 00 00 13 7D 3F ,29544
MLO100126,Barnet,Borough,00 00 00 00 00 13 94 2C ,35390
MLO100127,Barnet,Borough,00 00 00 00 00 13 AB 40 ,41275
MLO100128,Barnet,Borough,00 00 00 00 00 13 C2 58 ,47164
MLO100129,Barnet,Borough,00 00 00 00 00 13 D9 78 ,53061
MLO10013,River Thames,Borough,00 00 00 00 00 13 4E F3 ,17739
MLO10013,Wandsworth,Borough,00 00 00 00 00 13 4E F4 ,17740
MLO100130,Barnet,Borough,00 00 00 00 00 13 09 74 ,17
MLO100131,Barnet,Borough,00 00 00 00 00 13 20 AF ,5941
MLO100132,Barnet,Borough,00 00 00 00 00 13 37 EF ,11870
MLO100133,Barnet,Borough,00 00 00 00 00 13 4E F5 ,17741
MLO100134,Barnet,Borough,00 00 00 00 00 13 66 11 ,23633
MLO100135,Barnet,Borough,00 00 00 00 00 13 7D 40 ,29545
MLO100136,Barnet,Borough,00 00 00 00 00 13 94 2D ,35391
MLO100137,Barnet,Borough,00 00 00 00 00 13 AB 41 ,41276
MLO100138,Barnet,Borough,00 00 00 00 00 13 C2 59 ,47165
MLO100139,Barnet,Borough,00 00 00 00 00 13 D9 79 ,53062
MLO10014,River Thames,Borough,00 00 00 00 00 13 66 12 ,23634
MLO10014,Wandsworth,Borough,00 00 00 00 00 13 66 13 ,23635
MLO100140,Barnet,Borough,00 00 00 00 00 13 09 75 ,18
MLO100142,Barnet,Borough,00 00 00 00 00 13 37 F0 ,11871
MLO100144,Hillingdon,Borough,00 00 00 00 00 13 66 14 ,23636
MLO100145,Southwark,Borough,00 00 00 00 00 13 7D 41 ,29546
MLO100146,Southwark,Borough,00 00 00 00 00 13 94 2E ,35392
MLO100147,Southwark,Borough,00 00 00 00 00 13 AB 42 ,41277
MLO100148,Southwark,Borough,00 00 00 00 00 13 C2 5A ,47166
MLO100149,Southwark,Borough,00 00 00 00 00 13 D9 7A ,53063
MLO10015,River Thames,Borough,00 00 00 00 00 13 7D 42 ,29547
MLO10015,Wandsworth,Borough,00 00 00 00 00 13 7D 43 ,29548
MLO100150,Hounslow,Borough,00 00 00 00 00 13 09 76 ,19
MLO100150,River Thames,Borough,00 00 00 00 00 13 09 77 ,20
MLO100155,Barnet,Borough,00 00 00 00 00 13 7D 44 ,29549
